Change Physical Footprint: Designator=C1 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=D1 Old Footprint=120R 2W New Footprint=120R 2W
Change Physical Footprint: Designator=Display1 Old Footprint=HDR1X8H New Footprint=HDR1X8H
Change Physical Footprint: Designator=P2 Old Footprint=HDR1X6H New Footprint=HDR1X6H
Change Physical Footprint: Designator=P4 Old Footprint=HDR1X8H New Footprint=HDR1X8H
Change Physical Footprint: Designator=P5 Old Footprint=HDR1X6H New Footprint=HDR1X6H
Change Physical Footprint: Designator=P9 Old Footprint=CONN_AKZ 700/2 New Footprint=CONN_AKZ 700/2
Change Physical Footprint: Designator=R1 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R2 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R3 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R4 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R5 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R6 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R7 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R8 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R9 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R10 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R11 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R12 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R13 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R14 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R16 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R17 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R18 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
